Date,Open,High,Low,Close,Adj Close,Volume
2017-01-05,8226.650391,8282.650391,8223.700195,8273.799805,8273.799805,159100
2017-01-06,8281.849609,8306.849609,8233.250000,8243.799805,8243.799805,139400
2017-01-09,8259.349609,8263.000000,8227.750000,8236.049805,8236.049805,99100
2017-01-10,8262.700195,8293.799805,8261.000000,8288.599609,8288.599609,142900
2017-01-11,8327.799805,8389.000000,8322.250000,8380.650391,8380.650391,186500
2017-01-12,8391.049805,8417.200195,8382.299805,8407.200195,8407.200195,172600
2017-01-13,8457.650391,8461.049805,8373.150391,8400.349609,8400.349609,185300
2017-01-16,8390.950195,8426.700195,8374.400391,8412.799805,8412.799805,124100
2017-01-17,8415.049805,8440.900391,8378.299805,8398.000000,8398.000000,122000
2017-01-18,8403.849609,8460.299805,8397.400391,8417.000000,8417.000000,163800
2017-01-19,8418.400391,8445.150391,8404.049805,8435.099609,8435.099609,165900
2017-01-20,8404.349609,8423.650391,8340.950195,8349.349609,8349.349609,202600
2017-01-23,8329.599609,8404.150391,8327.200195,8391.500000,8391.500000,195000
2017-01-24,8407.049805,8480.950195,8398.150391,8475.799805,8475.799805,179200
2017-01-25,8499.450195,8612.599609,8493.950195,8602.750000,8602.750000,292500
2017-01-27,8610.500000,8672.700195,8606.900391,8641.250000,8641.250000,275400
2017-01-30,8635.549805,8662.599609,8617.750000,8632.750000,8632.750000,304700
2017-01-31,8629.450195,8631.750000,8552.400391,8561.299805,8561.299805,521000
2017-02-01,8570.349609,8722.400391,8537.500000,8716.400391,8716.400391,327700
2017-02-02,8724.750000,8757.599609,8685.799805,8734.250000,8734.250000,283500
2017-02-03,8735.150391,8748.250000,8707.750000,8740.950195,8740.950195,191000
2017-02-06,8785.450195,8814.099609,8770.200195,8801.049805,8801.049805,194400
2017-02-07,8805.700195,8809.299805,8741.049805,8768.299805,8768.299805,226300
2017-02-08,8774.549805,8791.250000,8715.000000,8769.049805,8769.049805,218700
2017-02-09,8795.549805,8821.400391,8724.099609,8778.400391,8778.400391,187500
2017-02-10,8812.349609,8822.099609,8771.200195,8793.549805,8793.549805,225900
2017-02-13,8819.799805,8826.900391,8754.200195,8805.049805,8805.049805,204900
2017-02-14,8819.900391,8820.450195,8772.500000,8792.299805,8792.299805,188300
2017-02-15,8778.950195,8807.900391,8712.849609,8724.700195,8724.700195,216100
2017-02-16,8739.000000,8783.950195,8719.599609,8778.000000,8778.000000,184600
2017-02-17,8883.700195,8896.450195,8804.250000,8821.700195,8821.700195,298300
2017-02-20,8818.549805,8886.250000,8809.799805,8879.200195,8879.200195,167800
2017-02-21,8890.750000,8920.799805,8860.950195,8907.849609,8907.849609,175700
2017-02-22,8931.599609,8960.750000,8905.250000,8926.900391,8926.900391,247100
2017-02-23,8956.400391,8982.150391,8927.549805,8939.500000,8939.500000,377200
2017-02-27,8943.700195,8951.799805,8888.650391,8896.700195,8896.700195,189900
2017-02-28,8898.950195,8914.750000,8867.599609,8879.599609,8879.599609,293600
2017-03-01,8904.400391,8960.799805,8898.599609,8945.799805,8945.799805,205900
2017-03-02,8982.849609,8992.500000,8879.799805,8899.750000,8899.750000,218800
2017-03-03,8883.500000,8907.099609,8860.099609,8897.549805,8897.549805,202600
2017-03-06,8915.099609,8967.799805,8914.000000,8963.450195,8963.450195,174800
2017-03-07,8977.750000,8977.849609,8932.799805,8946.900391,8946.900391,173400
2017-03-08,8950.700195,8957.049805,8891.950195,8924.299805,8924.299805,177800
2017-03-09,8914.500000,8945.799805,8899.500000,8927.000000,8927.000000,171500
2017-03-10,8953.700195,8975.700195,8903.950195,8934.549805,8934.549805,152700
2017-03-14,9091.650391,9122.750000,9060.500000,9087.000000,9087.000000,270300
2017-03-15,9086.849609,9106.549805,9075.500000,9084.799805,9084.799805,240600
2017-03-16,9129.650391,9158.450195,9128.549805,9153.700195,9153.700195,208600
2017-03-17,9207.799805,9218.400391,9147.599609,9160.049805,9160.049805,286700
2017-03-20,9166.950195,9167.599609,9116.299805,9126.849609,9126.849609,332100
2017-03-21,9133.950195,9147.750000,9087.200195,9121.500000,9121.500000,247700
2017-03-22,9047.200195,9072.900391,9019.299805,9030.450195,9030.450195,232300
2017-03-23,9048.750000,9099.049805,9048.599609,9086.299805,9086.299805,191800
2017-03-24,9104.000000,9133.549805,9089.400391,9108.000000,9108.000000,203700
2017-03-27,9093.450195,9094.849609,9024.650391,9045.200195,9045.200195,202700
2017-03-28,9081.500000,9110.400391,9079.799805,9100.799805,9100.799805,183300
2017-03-29,9128.700195,9153.150391,9109.099609,9143.799805,9143.799805,243400
2017-03-30,9142.599609,9183.150391,9136.349609,9173.750000,9173.750000,323400
2017-03-31,9158.900391,9191.700195,9152.099609,9173.750000,9173.750000,190900
2017-04-03,9220.599609,9245.349609,9192.400391,9237.849609,9237.849609,139100
2017-04-05,9264.400391,9273.900391,9215.400391,9265.150391,9265.150391,184800
2017-04-06,9245.799805,9267.950195,9218.849609,9261.950195,9261.950195,186100
2017-04-07,9223.700195,9250.500000,9188.099609,9198.299805,9198.299805,190000
2017-04-10,9225.599609,9225.650391,9174.849609,9181.450195,9181.450195,135800
2017-04-11,9184.549805,9242.700195,9172.849609,9237.000000,9237.000000,200100
2017-04-12,9242.500000,9246.400391,9161.799805,9203.450195,9203.450195,161800
2017-04-13,9202.500000,9202.650391,9144.950195,9150.799805,9150.799805,166500
2017-04-17,9144.750000,9160.000000,9120.250000,9139.299805,9139.299805,0
2017-04-18,9163.000000,9217.900391,9095.450195,9105.150391,9105.150391,174200
2017-04-19,9112.200195,9120.500000,9075.150391,9103.500000,9103.500000,173700
2017-04-20,9108.099609,9143.900391,9102.650391,9136.400391,9136.400391,170300
2017-04-21,9179.099609,9183.650391,9088.750000,9119.400391,9119.400391,155200
2017-04-24,9135.349609,9225.400391,9130.549805,9217.950195,9217.950195,167700
2017-04-25,9273.049805,9309.200195,9250.349609,9306.599609,9306.599609,168700
2017-04-26,9336.200195,9367.000000,9301.349609,9351.849609,9351.849609,185700
2017-04-27,9359.150391,9367.150391,9322.650391,9342.150391,9342.150391,209400
2017-04-28,9340.950195,9342.650391,9282.250000,9304.049805,9304.049805,162200
2017-05-02,9339.849609,9352.549805,9269.900391,9313.799805,9313.799805,161600
2017-05-03,9344.700195,9346.299805,9298.400391,9311.950195,9311.950195,151600
2017-05-04,9360.950195,9365.650391,9323.250000,9359.900391,9359.900391,269600
2017-05-05,9374.549805,9377.099609,9272.000000,9285.299805,9285.299805,231900
2017-05-08,9311.450195,9338.700195,9297.950195,9314.049805,9314.049805,174300
2017-05-09,9337.349609,9338.950195,9307.700195,9316.849609,9316.849609,132300
2017-05-10,9339.650391,9414.750000,9336.000000,9407.299805,9407.299805,152700
2017-05-11,9448.599609,9450.650391,9411.299805,9422.400391,9422.400391,171100
2017-05-12,9436.650391,9437.750000,9372.549805,9400.900391,9400.900391,154300
2017-05-15,9433.549805,9449.250000,9423.099609,9445.400391,9445.400391,140800
2017-05-16,9461.000000,9517.200195,9456.349609,9512.250000,9512.250000,166500
2017-05-17,9517.599609,9532.599609,9486.099609,9525.750000,9525.750000,205500
2017-05-18,9453.200195,9489.099609,9418.099609,9429.450195,9429.450195,193300
2017-05-19,9469.900391,9505.750000,9390.750000,9427.900391,9427.900391,252100
2017-05-22,9480.250000,9498.650391,9427.900391,9438.250000,9438.250000,196800
2017-05-23,9445.049805,9448.049805,9370.000000,9386.150391,9386.150391,224400
2017-05-24,9410.900391,9431.900391,9341.650391,9360.549805,9360.549805,211800
2017-05-25,9384.049805,9523.299805,9379.200195,9509.750000,9509.750000,289200
2017-05-26,9507.750000,9604.900391,9495.400391,9595.099609,9595.099609,218800
2017-05-29,9560.049805,9637.750000,9547.700195,9604.900391,9604.900391,235000
2017-05-30,9590.650391,9635.299805,9581.200195,9624.549805,9624.549805,193900
2017-05-31,9636.549805,9649.599609,9609.250000,9621.250000,9621.250000,414300
2017-06-01,9603.549805,9634.650391,9589.900391,9616.099609,9616.099609,176100
2017-06-02,9657.150391,9673.500000,9637.450195,9653.500000,9653.500000,162200
2017-06-05,9656.299805,9687.200195,9640.700195,9675.099609,9675.099609,127700
2017-06-06,9704.250000,9709.299805,9630.200195,9637.150391,9637.150391,145900
2017-06-07,9663.950195,9678.549805,9630.549805,9663.900391,9663.900391,160700
2017-06-08,9682.400391,9688.700195,9641.500000,9647.250000,9647.250000,155400
2017-06-09,9638.549805,9676.250000,9608.150391,9668.250000,9668.250000,159000
2017-06-12,9646.700195,9647.049805,9598.500000,9616.400391,9616.400391,141400
2017-06-13,9615.549805,9654.150391,9595.400391,9606.900391,9606.900391,129700
2017-06-14,9621.549805,9627.400391,9580.450195,9618.150391,9618.150391,181800
2017-06-15,9617.900391,9621.400391,9560.799805,9578.049805,9578.049805,171100
2017-06-16,9595.450195,9615.849609,9565.500000,9588.049805,9588.049805,213200
2017-06-19,9626.400391,9673.299805,9614.900391,9657.549805,9657.549805,141700
2017-06-20,9670.500000,9676.500000,9643.750000,9653.500000,9653.500000,159500
2017-06-21,9648.099609,9650.450195,9608.599609,9633.599609,9633.599609,144000
2017-06-22,9642.650391,9698.849609,9617.750000,9630.000000,9630.000000,198800
2017-06-23,9643.250000,9647.650391,9565.299805,9574.950195,9574.950195,175200
2017-06-27,9594.049805,9615.400391,9473.450195,9511.400391,9511.400391,203300
2017-06-28,9520.200195,9522.500000,9474.349609,9491.250000,9491.250000,172400
2017-06-29,9522.950195,9575.799805,9493.799805,9504.099609,9504.099609,259300
2017-06-30,9478.500000,9535.799805,9448.750000,9520.900391,9520.900391,179600
2017-07-03,9587.950195,9624.000000,9543.549805,9615.000000,9615.000000,183000
2017-07-04,9645.900391,9650.650391,9595.500000,9613.299805,9613.299805,144800
2017-07-05,9619.750000,9643.650391,9607.349609,9637.599609,9637.599609,130800
2017-07-06,9653.599609,9700.700195,9639.950195,9674.549805,9674.549805,147400
2017-07-07,9670.349609,9684.250000,9642.650391,9665.799805,9665.799805,141800
2017-07-10,9719.299805,9782.150391,9646.450195,9771.049805,9771.049805,37500
2017-07-11,9797.450195,9830.049805,9778.849609,9786.049805,9786.049805,179700
2017-07-12,9807.299805,9824.950195,9787.700195,9816.099609,9816.099609,145500
2017-07-13,9855.799805,9897.250000,9853.450195,9891.700195,9891.700195,181300
2017-07-14,9913.299805,9913.299805,9845.450195,9886.349609,9886.349609,159600
2017-07-17,9908.150391,9928.200195,9894.700195,9915.950195,9915.950195,163500
2017-07-18,9832.700195,9885.349609,9792.049805,9827.150391,9827.150391,293900
2017-07-19,9855.950195,9905.049805,9851.650391,9899.599609,9899.599609,200200
2017-07-20,9920.200195,9922.549805,9863.450195,9873.299805,9873.299805,161100
2017-07-21,9899.599609,9924.700195,9838.000000,9915.250000,9915.250000,187500
2017-07-24,9936.799805,9982.049805,9919.599609,9966.400391,9966.400391,0
2017-07-25,10010.549805,10011.299805,9949.099609,9964.549805,9964.549805,185500
2017-07-26,9983.650391,10025.950195,9965.950195,10020.650391,10020.650391,197600
2017-07-27,10063.250000,10114.849609,10005.500000,10020.549805,10020.549805,287900
2017-07-28,9996.549805,10026.049805,9944.500000,10014.500000,10014.500000,191600
2017-07-31,10034.700195,10085.900391,10016.950195,10077.099609,10077.099609,237700
2017-08-01,10101.049805,10128.599609,10065.750000,10114.650391,10114.650391,184300
2017-08-02,10136.299805,10137.849609,10054.200195,10081.500000,10081.500000,161500
2017-08-03,10081.150391,10081.150391,9998.250000,10013.650391,10013.650391,192700
2017-08-04,10008.599609,10075.250000,9988.349609,10066.400391,10066.400391,178600
2017-08-07,10074.799805,10088.099609,10046.349609,10057.400391,10057.400391,137400
2017-08-08,10068.349609,10083.799805,9947.000000,9978.549805,9978.549805,203300
2017-08-09,9961.150391,9969.799805,9893.049805,9908.049805,9908.049805,169200
2017-08-10,9872.849609,9892.650391,9776.200195,9820.250000,9820.250000,235500
2017-08-11,9712.150391,9771.650391,9685.549805,9710.799805,9710.799805,285900
2017-08-14,9755.750000,9818.299805,9752.099609,9794.150391,9794.150391,195600
2017-08-16,9825.849609,9903.950195,9773.849609,9897.299805,9897.299805,219500
2017-08-17,9945.549805,9947.799805,9883.750000,9904.150391,9904.150391,197600
2017-08-18,9865.950195,9865.950195,9783.650391,9837.400391,9837.400391,246300
2017-08-21,9864.250000,9884.349609,9740.099609,9754.349609,9754.349609,205300
2017-08-22,9815.750000,9828.450195,9752.599609,9765.549805,9765.549805,183600
2017-08-23,9803.049805,9857.900391,9786.750000,9852.500000,9852.500000,168600
2017-08-24,9881.200195,9881.500000,9848.849609,9857.049805,9857.049805,184700
2017-08-28,9907.150391,9925.750000,9882.000000,9912.799805,9912.799805,159600
2017-08-29,9886.400391,9887.349609,9783.750000,9796.049805,9796.049805,173300
2017-08-30,9859.500000,9909.450195,9850.799805,9884.400391,9884.400391,157800
2017-08-31,9905.700195,9925.099609,9856.950195,9917.900391,9917.900391,327700
2017-09-01,9937.650391,9983.450195,9909.849609,9974.400391,9974.400391,157800
2017-09-04,9984.150391,9988.400391,9861.000000,9912.849609,9912.849609,148800
2017-09-05,9933.250000,9963.099609,9901.049805,9952.200195,9952.200195,139200
2017-09-06,9899.250000,9931.549805,9882.549805,9916.200195,9916.200195,149200
2017-09-07,9945.849609,9964.849609,9917.200195,9929.900391,9929.900391,188800
2017-09-08,9958.650391,9963.599609,9913.299805,9934.799805,9934.799805,163600
2017-09-11,9971.750000,10028.650391,9968.799805,10006.049805,10006.049805,173000
2017-09-12,10056.849609,10097.549805,10028.049805,10093.049805,10093.049805,182600
2017-09-13,10099.250000,10131.950195,10063.150391,10079.299805,10079.299805,215000
2017-09-14,10107.400391,10126.500000,10070.349609,10086.599609,10086.599609,225600
2017-09-15,10062.349609,10115.150391,10043.650391,10085.400391,10085.400391,266600
2017-09-18,10133.099609,10171.700195,10131.299805,10153.099609,10153.099609,156100
2017-09-19,10175.599609,10178.950195,10129.950195,10147.549805,10147.549805,187500
2017-09-20,10160.950195,10171.049805,10134.200195,10141.150391,10141.150391,199400
2017-09-21,10139.599609,10158.900391,10058.599609,10121.900391,10121.900391,191800
2017-09-22,10094.349609,10095.049805,9952.799805,9964.400391,9964.400391,226600
